Week number,2015-19 min,2015-19 max,2020,2021
1,2452,2573,2510,2625
2,2369,2601,2523,2556
3,2368,2607,2516,2716
4,2328,2565,2619,2564
5,2270,2550,2523,2695
6,2357,2570,2547,2578
7,2387,2594,2630,2560
8,2322,2669,2632,2685
9,2365,2610,2696,2658
10,2446,2663,2614,2733
11,2346,2608,2591,2704
12,2451,2557,2708,2680
13,2432,2620,2781,2695
14,2424,2631,2875,2594
15,2500,2691,2796,2867
16,2483,2666,2692,2836
17,2477,2621,2715,2843
18,2496,2661,2671,2978
19,2598,2815,2822,2943
20,2634,2811,2710,2954
21,2668,2908,2819,3087
22,2658,2959,2808,2945
23,2740,2961,2749,3136
24,2685,3039,2745,3046
25,2694,3031,2691,2991
26,2777,3009,2680,3024
27,2847,3031,2771,3081
28,2836,3099,2801,3132
29,2884,3251,2773,3179
30,2928,3248,2926,3240
31,2915,3329,2959,3059
32,2836,3303,2952,3026
33,2972,3251,3068,3078
34,2916,3280,2895,3024
35,2994,3369,2882,3081
36,2893,3179,2896,2965
37,2738,3293,2826,3061
38,2749,3173,2713,2942
39,2724,2913,2794,3050
40,2745,2924,2799,2957
41,2693,2793,2671,2907
42,2622,2759,2641,2944
43,2550,2773,2599,2852
44,2518,2689,2651,2861
45,2509,2764,2679,2683
46,2402,2655,2734,2788
47,2512,2649,2633,2791
48,2507,2602,2569,2793
49,2381,2589,2704,2725
50,2523,2604,2634,2777
51,2443,2542,2648,2824
52,2345,2558,2662,2685
53,2345,2558,2578,2882
